"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/03/2020","35","Ozone","San Pablo","06-013-1004","AQS"
"02/04/2020","36","NO2","Laney College","06-001-0012","AQS"
"02/05/2020","46","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/06/2020","53","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/07/2020","59","PM2.5","Concord","06-013-0002","AQS"
"02/08/2020","48","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"02/09/2020","34","Ozone","Oakland West","06-001-0011","AQS"
"02/10/2020","38","NO2","Berkeley Aquatic Park","06-001-0013","AQS"
"02/11/2020","45","NO2","Oakland West","06-001-0011","AQS"
"02/12/2020","54","PM2.5","San Francisco","06-075-0005","AQS"
"02/13/2020","44","PM2.5","San Pablo","06-013-1004","AQS"
"02/14/2020","42","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/15/2020","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/16/2020","38","Ozone","Oakland West","06-001-0011","AQS"
"02/17/2020","41","Ozone","Livermore","06-001-0007","AQS"
"02/18/2020","48","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/19/2020","49","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/20/2020","55","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/21/2020","56","PM2.5","Laney College","06-001-0012","AQS"
"02/22/2020","56","PM2.5","San Pablo","06-013-1004","AQS"
"02/23/2020","36","Ozone","Oakland West","06-001-0011","AQS"
"02/24/2020","38","PM2.5","San Francisco","06-075-0005","AQS"
"02/25/2020","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/26/2020","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"02/27/2020","58","PM2.5","San Francisco","06-075-0005","AQS"
"02/28/2020","56","PM2.5","San Francisco","06-075-0005","AQS"
"02/29/2020","40","Ozone","San Francisco","06-075-0005","AirNow"
"03/01/2020","38","Ozone","San Pablo","06-013-1004","AirNow"
"03/02/2020","39","Ozone","Oakland West","06-001-0011","AirNow"
"03/03/2020","52","PM2.5","San Francisco","06-075-0005","AirNow"
"03/04/2020","54","PM2.5","San Francisco","06-075-0005","AirNow"
"03/05/2020","51","PM2.5","Pleasanton - Owens Ct","06-001-0015","AirNow"
"03/06/2020","35","Ozone","San Pablo","06-013-1004","AirNow"
"03/07/2020","36","Ozone","San Francisco","06-075-0005","AirNow"
"03/08/2020","37","Ozone","Oakland West","06-001-0011","AirNow"
"03/09/2020","38","Ozone","Bethel Island","06-013-1002","AirNow"
"03/10/2020","35","Ozone","Livermore","06-001-0007","AirNow"
"03/11/2020","42","Ozone","Bethel Island","06-013-1002","AirNow"
"03/12/2020","46","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow"
"03/13/2020","60","PM2.5","San Pablo","06-013-1004","AirNow"
"03/14/2020","39","Ozone","San Pablo","06-013-1004","AirNow"
"03/15/2020","42","Ozone","San Pablo","06-013-1004","AirNow"
"03/16/2020","39","Ozone","Bethel Island","06-013-1002","AirNow"
"03/17/2020","36","Ozone","Oakland West","06-001-0011","AirNow"
"03/18/2020","36","Ozone","Oakland West","06-001-0011","AirNow"
"03/19/2020","38","Ozone","Redwood City","06-081-1001","AirNow"
"03/20/2020","39","Ozone","Bethel Island","06-013-1002","AirNow"
"03/21/2020","41","Ozone","Bethel Island","06-013-1002","AirNow"
"03/22/2020","38","Ozone","Livermore","06-001-0007","AirNow"
"03/23/2020","41","Ozone","San Francisco","06-075-0005","AirNow"
"03/24/2020","40","Ozone","Bethel Island","06-013-1002","AirNow"
"03/25/2020","40","Ozone","Livermore","06-001-0007","AirNow"
"03/26/2020","38","Ozone","Bethel Island","06-013-1002","AirNow"
"03/27/2020","47","Ozone","Livermore","06-001-0007","AirNow"
"03/28/2020","53","PM2.5","San Pablo","06-013-1004","AirNow"
"03/29/2020","43","Ozone","Bethel Island","06-013-1002","AirNow"
"03/30/2020","36","Ozone","Livermore","06-001-0007","AirNow"
"03/31/2020","32","Ozone","Redwood City","06-081-1001","AirNow"
"04/01/2020","39","Ozone","Bethel Island","06-013-1002","AirNow"
"04/02/2020","37","Ozone","Bethel Island","06-013-1002","AirNow"
"04/03/2020","34","Ozone","Livermore","06-001-0007","AirNow"
"04/04/2020","34","Ozone","San Rafael","06-041-0001","AirNow"
"04/05/2020","36","Ozone","San Pablo","06-013-1004","AirNow"
"04/06/2020","36","Ozone","Livermore","06-001-0007","AirNow"
"04/07/2020","39","Ozone","Livermore","06-001-0007","AirNow"
"04/08/2020","34","Ozone","San Francisco","06-075-0005","AirNow"
"04/09/2020","34","Ozone","San Francisco","06-075-0005","AirNow"
"04/10/2020","39","Ozone","Bethel Island","06-013-1002","AirNow"
"04/11/2020","36","Ozone","San Francisco","06-075-0005","AirNow"
"04/12/2020","56","PM2.5","San Pablo","06-013-1004","AirNow"
"04/13/2020","56","PM2.5","San Pablo","06-013-1004","AirNow"
"04/14/2020","47","Ozone","Concord","06-013-0002","AirNow"
"04/15/2020","51","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow"
"04/16/2020","36","Ozone","Bethel Island","06-013-1002","AirNow"
"04/17/2020","49","PM2.5","San Pablo","06-013-1004","AirNow"
"04/18/2020","41","Ozone","Bethel Island","06-013-1002","AirNow"
"04/19/2020","42","Ozone","Bethel Island","06-013-1002","AirNow"
"04/20/2020","41","Ozone","Bethel Island","06-013-1002","AirNow"
"04/21/2020","39","Ozone","Bethel Island","06-013-1002","AirNow"
"04/22/2020","37","Ozone","Livermore","06-001-0007","AirNow"
"04/23/2020","39","Ozone","Concord","06-013-0002","AirNow"
"04/24/2020","52","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow"
"04/25/2020","42","Ozone","Livermore","06-001-0007","AirNow"
"04/26/2020","43","Ozone","San Rafael","06-041-0001","AirNow"
"04/27/2020","41","Ozone","Livermore","06-001-0007","AirNow"
"04/28/2020","39","Ozone","Livermore","06-001-0007","AirNow"
"04/29/2020","34","Ozone","Bethel Island","06-013-1002","AirNow"
"04/30/2020","48","Ozone","Bethel Island","06-013-1002","AirNow"
"05/01/2020","47","Ozone","Bethel Island","06-013-1002","AQS"
"05/02/2020","31","Ozone","Hayward","06-001-2001","AQS"
"05/03/2020","45","Ozone","Bethel Island","06-013-1002","AQS"
"05/04/2020","51","Ozone","Concord","06-013-0002","AQS"
"05/05/2020","44","Ozone","Bethel Island","06-013-1002","AQS"
"05/06/2020","48","Ozone","Bethel Island","06-013-1002","AQS"
"05/07/2020","58","Ozone","Concord","06-013-0002","AQS"
"05/08/2020","93","Ozone","Livermore","06-001-0007","AQS"
"05/09/2020","47","Ozone","Livermore","06-001-0007","AQS"
"05/10/2020","56","PM2.5","San Pablo","06-013-1004","AQS"
"05/11/2020","42","Ozone","Livermore","06-001-0007","AQS"
"05/12/2020","41","Ozone","Bethel Island","06-013-1002","AQS"
"05/13/2020","34","Ozone","Bethel Island","06-013-1002","AQS"
"05/14/2020","33","Ozone","Bethel Island","06-013-1002","AQS"
"05/15/2020","41","Ozone","Livermore","06-001-0007","AQS"
"05/16/2020","32","Ozone","San Francisco","06-075-0005","AQS"
"05/17/2020","36","Ozone","San Francisco","06-075-0005","AQS"
"05/18/2020","43","PM2.5","San Pablo","06-013-1004","AQS"
"05/19/2020","38","Ozone","Bethel Island","06-013-1002","AQS"
"05/20/2020","40","Ozone","Bethel Island","06-013-1002","AQS"
"05/21/2020","38","Ozone","Bethel Island","06-013-1002","AQS"
"05/22/2020","43","Ozone","Bethel Island","06-013-1002","AQS"
"05/23/2020","53","PM2.5","San Pablo","06-013-1004","AQS"
"05/24/2020","59","PM2.5","San Pablo","06-013-1004","AQS"
"05/25/2020","57","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"05/26/2020","58","Ozone","Livermore","06-001-0007","AQS"
"05/27/2020","53","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"05/28/2020","45","Ozone","Livermore","06-001-0007","AQS"
"05/29/2020","35","Ozone","Livermore","06-001-0007","AQS"
"05/30/2020","31","Ozone","Bethel Island","06-013-1002","AQS"
"05/31/2020","46","PM2.5","San Pablo","06-013-1004","AQS"
"06/01/2020","44","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"06/02/2020","61","Ozone","Livermore","06-001-0007","AQS"
"06/03/2020","71","Ozone","Livermore","06-001-0007","AQS"
"06/04/2020","64","Ozone","Bethel Island","06-013-1002","AQS"
"06/05/2020","45","PM2.5","San Pablo","06-013-1004","AQS"
